id,station,species,sex,dish,scale,length,notes,incomplete,measured_by,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,22.43,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,21.26,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,20.88,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,20.91,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,18.69,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,21.3,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,18.6,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,25.11,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,21.72,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,22.23,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,21.55,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,20.11,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPM,471,EP,M,NA,1,23.62,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,25.86,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,22.57,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,21.58,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,20.78,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,23.72,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,25.27,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,23.03,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,23.55,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,20.66,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,22.79,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,23.67,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,22.24,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,24.48,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,23.88,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,24.55,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,22.36,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,21.06,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,24.28,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,22.08,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,25.19,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,20.21,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,23.76,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,24.16,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,21.71,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,21.7,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,22.79,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,19.63,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,23.29,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,23.05,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,17.24,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,22.15,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,21.24,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,16.63,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,15.67,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
B0805S471H76EPF,471,EP,F,NA,1,21.91,,NA,Baldo Marinovic,,,,,,,,,,,,,,,,
