,year,station,date,latitude,longitude,bottom_depth,tdr_depth
1,2011,110,5/13/11,36.5833,-122.175,2304,34
3,2012,110,5/8/12,36.5833,-122.175,2304,34
51,2013,110,5/11/13,36.5833,-122.175,2304,37
52,2016,110,6/4/16,36.5833,-122.175,2304,44
53,2018,110,5/15/18,36.5833,-122.175,2304,39
4,2011,112,5/13/11,36.655,-121.9467,73,37
5,2012,112,5/8/12,36.655,-121.9467,73,27
54,2017,112,5/9/17,36.655,-121.9467,73,35
6,2011,114,5/12/11,36.7667,-121.8667,73,36
7,2012,114,5/7/12,36.7667,-121.8667,73,31
55,2013,114,5/10/13,36.7667,-121.8667,73,31
56,2016,114,4/28/16,36.7667,-121.8667,73,54
57,2018,114,5/15/18,36.7667,-121.8667,73,41
8,2012,116,5/8/12,36.74,-121.9767,287,29
9,2011,117,5/14/11,36.7,-122.1083,1920,36
10,2011,117,5/18/11,36.7,-122.1083,1920,38
11,2012,117,5/9/12,36.7,-122.1083,1920,26
58,2013,117,5/11/13,36.7,-122.1083,1920,34
59,2016,117,4/28/16,36.7,-122.1083,1920,34
60,2016,117,4/29/16,36.7,-122.1083,1920,34
61,2017,117,5/4/17,36.7,-122.1083,1920,32
62,2018,117,5/14/18,36.7,-122.1083,1920,33
12,2011,118,5/18/11,36.76694,-122.1589,1126,35
13,2011,124,5/12/11,36.9833,-122.375,128,36
14,2012,124,5/9/12,36.9833,-122.375,128,25
63,2013,124,5/20/13,36.9833,-122.375,128,36
64,2016,124,5/5/16,36.9833,-122.375,128,38
65,2017,124,5/3/17,36.9833,-122.375,128,37
66,2018,124,6/7/18,36.9833,-122.375,128,40
15,2011,127,5/11/11,36.9833,-122.7583,1045,29
67,2013,127,5/9/13,36.9833,-122.7583,1045,34
68,2016,127,5/6/16,36.9833,-122.7583,1045,27
69,2017,127,5/4/17,36.9833,-122.7583,1045,48
70,2018,127,6/8/18,36.9833,-122.7583,1045,38
16,2012,131,5/11/12,37.275,-122.5667,82,35
71,2013,131,5/12/13,37.275,-122.5667,82,34
72,2013,131,5/19/13,37.275,-122.5667,82,32
73,2016,131,5/4/16,37.275,-122.5667,82,33
74,2017,131,6/5/17,37.275,-122.5667,82,38
75,2018,131,5/16/18,37.275,-122.5667,82,41
17,2011,132,5/9/11,37.275,-122.65,95,40
18,2012,132,5/11/12,37.275,-122.65,95,30
76,2013,132,5/12/13,37.275,-122.65,95,35
77,2018,132,5/16/18,37.275,-122.65,95,35
19,2011,134,5/8/11,37.275,-122.9833,518,37
78,2013,134,5/12/13,37.275,-122.9833,518,37
79,2016,134,5/5/16,37.275,-122.9833,518,37
80,2017,134,6/6/17,37.275,-122.9833,518,37
81,2018,134,5/17/18,37.275,-122.9833,518,37
20,2011,138,5/6/11,37.7,-122.9083,55,18
21,2012,138,5/7/12,37.7,-122.9083,55,15
82,2013,138,5/16/13,37.7,-122.9083,55,10
83,2016,138,4/26/16,37.7,-122.9083,55,18
84,2017,138,4/27/17,37.7,-122.9083,55,4
22,2012,139,5/7/12,37.7917,-122.8667,55,26
85,2013,139,5/16/13,37.7917,-122.8667,55,12
86,2018,139,6/20/18,37.7917,-122.8667,55,21
23,2011,152,5/8/11,37.6583,-123.0417,108,29
24,2012,152,5/11/12,37.6583,-123.0417,108,29
87,2016,152,5/4/16,37.6583,-123.0417,108,28
25,2011,156,5/7/11,37.7433,-123.1383,91,35
26,2011,156,5/14/11,37.7433,-123.1383,91,31
27,2012,156,5/14/12,37.7433,-123.1383,91,32
88,2017,156,5/3/17,37.7433,-123.1383,91,34
89,2018,156,5/18/18,37.7433,-123.1383,91,38
28,2012,165,5/14/12,38.1667,-123,55,13
29,2011,166,5/15/11,38.16639,-123.0842,77,40
30,2011,167,5/15/11,38.1667,-123.1667,91,39
31,2011,167,5/26/11,38.1667,-123.1667,91,38
90,2013,167,5/17/13,38.1667,-123.1667,91,37
91,2016,167,5/2/16,38.1667,-123.1667,91,39
92,2017,167,5/16/17,38.1667,-123.1667,91,38
93,2018,167,5/25/18,38.1667,-123.1667,91,46
32,2011,170,5/16/11,38.1667,-123.3667,183,37
33,2011,170,5/25/11,38.1667,-123.3667,183,33
34,2012,170,5/15/12,38.1667,-123.3667,183,36
94,2013,170,5/17/13,38.1667,-123.3667,183,34
95,2016,170,5/3/16,38.1667,-123.3667,183,30
96,2018,170,5/26/18,38.1667,-123.3667,183,30
97,2013,171,5/17/13,38.1667,-123.4833,400,36
98,2017,171,5/16/17,38.1667,-123.4833,400,34
141,2018,171,5/8/18,38.1667,-123.4833,1920,33
35,2011,183,5/5/11,38.4667,-123.2333,53,38
99,2013,183,5/19/13,38.4667,-123.2333,53,16
100,2018,183,5/23/18,38.4667,-123.2333,53,17
101,2015,402,6/6/15,32.7167,-118.4533,222,34
102,2016,402,5/9/16,32.7167,-118.4533,222,30
103,2017,402,6/10/17,32.7167,-118.4533,222,30
104,2018,402,5/8/18,32.7167,-118.4533,222,37
36,2012,411,5/24/12,33.69,-119.2867,892,33
37,2012,411,5/27/12,33.69,-119.2867,892,32
105,2015,411,6/8/15,33.69,-119.2867,892,33
106,2016,411,5/10/16,33.69,-119.2867,892,31
107,2018,411,5/11/18,33.69,-119.2867,892,34
38,2012,412,5/27/12,33.5867,-119.4483,1874,33
108,2017,412,6/10/17,33.5867,-119.4483,1874,26
39,2012,413,5/27/12,33.4867,-119.605,775,36
109,2015,413,5/15/15,33.4867,-119.605,775,32
110,2018,413,5/11/18,33.4867,-119.605,775,38
111,2016,414,5/11/16,33.3833,-119.7633,103,32.5
40,2012,421,5/23/12,34.40917,-120.2261,217,35
,2015,421,5/12/15,34.40917,-120.2261,217,35
41,2012,422,5/28/12,34.3183,-120.3,380,28
112,2015,422,6/4/15,34.3183,-120.3,380,29
113,2016,422,5/7/16,34.3183,-120.3,380,27
114,2017,422,5/10/17,34.3183,-120.3,380,39
115,2018,422,5/12/18,34.3183,-120.3,380,35
116,2015,425,5/15/15,33.9183,-120.7117,1848,33
117,2016,425,5/8/16,33.9183,-120.7117,1848,22
118,2017,425,5/11/17,33.9183,-120.7117,1848,36
119,2018,425,5/13/18,33.9183,-120.7117,1848,37
42,2011,442,5/20/11,35.7033,-121.43,167,40
120,2015,442,6/3/15,35.7033,-121.43,167,30
121,2016,442,5/6/16,35.7033,-121.43,167,30
122,2016,442,5/13/16,35.7033,-121.43,167,32
123,2017,442,5/9/17,35.7033,-121.43,167,32
124,2018,442,6/14/18,35.7033,-121.43,167,39
125,2016,445,5/7/16,35.7033,-121.8667,1050,27
126,2017,445,5/10/17,35.7033,-121.8667,1050,34
127,2018,445,5/19/18,35.7033,-121.8667,1050,34
43,2011,453,5/5/11,38.4667,-123.3867,115,40
