"","time","latitude","longitude","haul_no","station","species_group","station_latitude","station_longitude","station_bottom_depth","area","catch"
"1",2012-05-07 09:42:02,37.7932,-122.8728,2,139,"Euphausiid",37.7917,-122.8667,55,"Gulf of the Farallones",1287
"2",2012-05-07 11:24:19,37.69,-122.9028,3,138,"Euphausiid",37.7,-122.9083,55,"Gulf of the Farallones",1959
"3",2012-05-08 04:05:48,36.8407,-121.9898,4,119,"Euphausiid",36.8467,-121.9833,91,"Monterey Bay Inside",919836
"4",2012-05-08 06:06:08,36.7688,-121.8803,5,114,"Euphausiid",36.7667,-121.8667,73,"Monterey Bay Inside",579600
"5",2012-05-08 07:40:07,36.7493,-121.9785,6,116,"Euphausiid",36.74,-121.9767,287,"Monterey Bay Inside",107334
"6",2012-05-08 09:22:08,36.7078,-121.9163,7,115,"Euphausiid",36.7083,-121.9083,91,"Monterey Bay Inside",45864
"7",2012-05-08 10:36:21,36.654,-121.9593,8,112,"Euphausiid",36.655,-121.9467,73,"Monterey Bay Inside",131274
"8",2012-05-09 04:13:48,36.5852,-122.181,9,110,"Euphausiid",36.5833,-122.175,2304,"Monterey Bay Outside",3862
"9",2012-05-09 06:43:52,36.5923,-122.0473,10,109,"Euphausiid",36.5833,-122.0333,608,"Monterey Bay Outside",71000
"10",2012-05-09 08:18:59,36.649,-122.0557,11,113,"Euphausiid",36.6467,-122.05,900,"Monterey Bay Outside",17328
"11",2012-05-09 09:49:54,36.7022,-122.108,12,117,"Euphausiid",36.7,-122.1083,1920,"Monterey Bay Outside",4327
"12",2012-05-10 04:15:50,36.9845,-122.2942,15,123,"Euphausiid",36.9833,-122.2917,82,"Davenport",0
"13",2012-05-10 06:10:00,36.9862,-122.379,16,124,"Euphausiid",36.9833,-122.375,128,"Davenport",63495
"14",2012-05-10 07:57:51,36.9755,-122.4237,17,125,"Euphausiid",36.9833,-122.425,446,"Davenport",46684
"15",2012-05-10 10:16:34,36.9898,-122.5995,18,126,"Euphausiid",36.9833,-122.5917,432,"Davenport",1733
"16",2012-05-11 04:10:54,37.2765,-122.9875,19,134,"Euphausiid",37.275,-122.9833,518,"Pescadero",36
"17",2012-05-11 06:38:38,37.2695,-122.8333,20,133,"Euphausiid",37.275,-122.8167,184,"Pescadero",1079
"18",2012-05-11 09:06:58,37.2745,-122.654,21,132,"Euphausiid",37.275,-122.65,95,"Pescadero",28810
"19",2012-05-11 10:54:58,37.2778,-122.5743,22,131,"Euphausiid",37.275,-122.5667,82,"Pescadero",29376
"20",2012-05-12 06:38:56,37.6595,-123.0467,24,152,"Euphausiid",37.6583,-123.0417,108,"Farallones Outside",41496
"21",2012-05-14 04:10:59,37.8815,-123.491,26,162,"Euphausiid",37.8833,-123.5,1328,"Farallones Outside",110386
"22",2012-05-14 06:01:56,37.8828,-123.3163,27,160,"Euphausiid",37.8833,-123.3167,91,"Farallones Outside",52124
"23",2012-05-14 08:11:14,37.7393,-123.1388,28,156,"Euphausiid",37.7433,-123.1383,91,"Farallones Outside",134558
"24",2012-05-14 10:42:05,37.5903,-122.827,29,237,"Euphausiid",37.5967,-122.8317,74,"Gulf of the Farallones",26250
"25",2012-05-15 04:08:22,38.159,-123.0157,31,165,"Euphausiid",38.1667,-123,55,"Point Reyes",12835
"26",2012-05-15 09:01:10,38.1682,-123.3667,34,170,"Euphausiid",38.1667,-123.3667,183,"Point Reyes",4446
"27",2012-05-15 10:50:43,38.1663,-123.4858,35,171,"Euphausiid",38.1667,-123.4833,400,"Point Reyes",3963
"28",2012-05-16 10:13:41,36.7043,-122.109,37,117,"Euphausiid",36.7,-122.1083,1920,"Monterey Bay Outside",45193
"29",2012-05-17 04:23:16,37.2772,-122.573,39,131,"Euphausiid",37.275,-122.5667,82,"Pescadero",617106
"30",2012-05-22 04:12:46,37.792,-122.8815,40,139,"Euphausiid",37.7917,-122.8667,55,"Gulf of the Farallones",45696
"31",2012-05-22 06:18:18,37.7138,-122.9222,41,138,"Euphausiid",37.7,-122.9083,55,"Gulf of the Farallones",29670
"32",2012-05-22 08:40:02,37.5697,-122.8293,42,237,"Euphausiid",37.5967,-122.8317,74,"Gulf of the Farallones",22800
"33",2012-05-23 06:35:18,34.3205,-120.2918,43,422,"Euphausiid",34.3183,-120.3,380,"San Miguel",3640
"34",2012-05-24 10:33:17,33.6882,-119.2872,46,411,"Euphausiid",33.69,-119.2867,892,"San Nicolas",25092
"35",2012-05-25 04:11:19,33.0203,-117.7517,47,481,"Euphausiid",33.0167,-117.75,798,"San Diego",135894
"36",2012-05-25 06:50:51,32.9368,-117.5847,48,482,"Euphausiid",32.9167,-117.5833,865,"San Diego",18233
"37",2012-05-25 09:41:04,32.8258,-117.4403,49,483,"Euphausiid",32.8167,-117.4217,555,"San Diego",232050
"38",2012-05-25 11:07:08,32.709,-117.3332,50,484,"Euphausiid",32.7083,-117.3333,94,"San Diego",853
"39",2012-05-27 04:34:29,33.3865,-119.7765,53,414,"Euphausiid",33.3833,-119.7633,103,"San Nicolas",0
"40",2012-05-27 07:30:05,33.4828,-119.6022,54,413,"Euphausiid",33.4867,-119.605,775,"San Nicolas",12628
"41",2012-05-27 09:45:01,33.5905,-119.4582,55,412,"Euphausiid",33.5867,-119.4483,1874,"San Nicolas",18167
"42",2012-05-27 11:27:47,33.6862,-119.2798,56,411,"Euphausiid",33.69,-119.2867,892,"San Nicolas",1951
"43",2012-05-28 08:05:05,34.3308,-120.3382,57,422,"Euphausiid",34.3183,-120.3,380,"San Miguel",37884
"44",2012-05-29 04:22:49,35.0032,-120.7958,60,492,"Euphausiid",35,-120.7933,94,"Point Sal",2196
"45",2012-05-29 06:00:20,35.0007,-120.8888,61,493,"Euphausiid",35,-120.8833,192,"Point Sal",9548
