station,year,species,sex,scale,length,sl2
422,2015,EP,M,15,371.1865,327.3811
422,2015,EP,M,15,361.9206,316.8788
422,2015,EP,M,15,245.9554,245.4752
422,2015,EP,M,15,269.127,247.3
422,2015,EP,M,15,364.833,331.2579
422,2015,EP,M,15,298.4796,266.1754
422,2015,EP,M,15,356.7752,324.9542
422,2015,EP,M,15,320.7742,293.6102
422,2015,EP,M,15,313.0876,293.8338
422,2015,EP,M,15,223.7611,218.336
422,2015,EP,M,15,240.4186,224.0199
422,2015,EP,M,15,363.9911,331.1084
422,2015,EP,M,15,341.6763,323.5827
422,2015,EP,M,15,316.3463,281.7944
422,2015,EP,M,15,355.9918,321.2165
422,2015,EP,M,15,215.9305,195.2204
422,2015,EP,M,15,212.9135,177.1287
422,2015,EP,M,15,348.0825,315.4518
422,2015,EP,M,15,290.5432,268.0643
422,2015,EP,M,15,236.3947,211.7783
422,2015,EP,M,15,368.9523,339.1155
422,2015,EP,M,15,291.5541,276.6965
422,2015,EP,M,15,320.5531,308.2388
422,2015,EP,M,15,286.6836,269.5459
422,2015,EP,M,15,319.3575,280.4787
422,2015,EP,M,15,357.2966,324.7031
422,2015,EP,M,15,128.0884,287.6762
422,2015,EP,M,15,314.5591,285.003
422,2015,EP,M,15,329.2145,316.2226
422,2015,EP,M,15,353.9846,325.579
422,2015,EP,M,15,288.5624,266.1376
422,2015,EP,M,15,305.6637,343.8032
422,2015,EP,M,15,264.7918,300.7369
422,2015,EP,M,15,283.7547,321.9215
422,2015,EP,M,15,324.6682,355.1283
422,2015,EP,M,15,219.2445,235.748
422,2015,EP,M,15,312.4752,333.4789
422,2015,EP,M,15,205.9504,204.5291
422,2015,EP,M,15,197.796,221.4325
422,2015,EP,M,15,289.6797,323.6889
422,2015,EP,F,15,354.7655,322.0112
422,2015,EP,F,15,351.2326,314.9777
422,2015,EP,F,15,273.5559,243.1844
422,2015,EP,F,15,224.4528,226.4878
422,2015,EP,F,15,358.6329,336.6119
422,2015,EP,F,15,348.995,318.7126
422,2015,EP,F,15,318.1754,298.8642
422,2015,EP,F,15,337.3818,300.9206
422,2015,EP,F,15,363.7562,361.3471
422,2015,EP,F,15,323.1997,295.4488
422,2015,EP,F,15,385.0469,326.5815
422,2015,EP,F,15,341.1682,306.1037
422,2015,EP,F,15,338.9008,305.3552
422,2015,EP,F,15,361.7816,315.2559
422,2015,EP,F,15,373.8394,340.4716
422,2015,EP,F,15,339.1524,315.6195
422,2015,EP,F,16,279.8894,255.2264
422,2015,EP,F,16,219.7087,196.9367
422,2015,EP,F,16,314.912,306.8099
422,2015,EP,F,16,215.4705,199.3761
422,2015,EP,F,16,345.9932,315.9595
422,2015,EP,F,16,366.2781,348.6715
422,2015,EP,F,16,321.2445,284.78
422,2015,EP,F,16,241.6532,259.2813
422,2015,EP,F,16,359.8515,326.3034
422,2015,EP,F,16,348.231,300.2879
422,2015,EP,F,16,234.0929,214.2065
422,2015,EP,F,16,313.6352,292.9886
422,2015,EP,F,16,361.0202,324.761
422,2015,EP,F,16,298.3193,274.598
422,2015,EP,F,16,254.9391,234.7672
422,2015,EP,F,16,322.4191,298.4191
422,2015,EP,F,16,220.6219,199.3333
422,2015,EP,F,16,304.1595,285.282
422,2015,EP,F,16,302.7888,280.2949
422,2015,EP,F,16,370.6367,337.117
422,2015,EP,F,16,227.1273,193.1286
422,2015,EP,F,16,288.6083,276.9071
422,2015,EP,F,16,350.1617,340.5561
422,2015,EP,F,16,237.4395,223.6369
422,2015,EP,F,14,363.4462,332.0156
422,2015,EP,F,14,381.5552,357.231
422,2015,EP,F,14,304.5404,292.8282
422,2015,EP,F,14,385.6167,362.6005
422,2015,EP,F,14,311.6025,285.9199
422,2015,EP,F,14,285.823,269.2002
422,2015,EP,F,14,329.3626,308.7431
422,2015,EP,F,14,194.1143,182.5543
422,2015,EP,F,14,399.1501,373.6354
422,2015,EP,F,14,342.7494,322.1865
422,2015,EP,F,14,357.1306,325.3869
422,2015,EP,F,14,313.8532,289.1477
422,2015,EP,F,14,335.5881,308.2794
422,2015,EP,F,14,355.2171,322.5726
422,2015,EP,F,16,302.424,283.1657
422,2015,EP,F,16,341.5736,305.3763
422,2015,EP,F,16,228.8202,203.9553
422,2015,EP,F,16,361.9919,329.2919
422,2015,EP,F,16,280.6058,249.5458
422,2015,EP,F,16,287.5347,265.4965
422,2015,EP,F,16,336.8924,302.9652
422,2015,EP,F,16,175.3363,167.1751
422,2015,EP,F,16,333.5297,299.5924
422,2015,EP,F,16,192.1237,174.5438
114,2018,TS,M,15,339.3065,298.1499
114,2018,TS,M,15,326.9331,316.102
114,2018,TS,M,15,402.3523,357.9603
114,2018,TS,M,15,371.3262,361.3448
114,2018,TS,M,15,361.9802,320.7445
114,2018,TS,M,15,430.2547,380.1035
114,2018,TS,M,15,376.2993,337.4322
114,2018,TS,M,15,355.6133,314.0603
114,2018,TS,M,15,344.5697,298.5738
114,2018,TS,M,15,356.4309,306.6242
114,2018,TS,M,15,379.556,356.2106
114,2018,TS,M,15,328.7909,289.5392
114,2018,TS,M,15,314.5152,283.5904
114,2018,TS,M,15,357.6783,322.7776
114,2018,TS,M,15,357.4619,322.1872
114,2018,TS,M,15,368.9352,340.5184
114,2018,TS,M,15,327.987,299.9033
114,2018,TS,M,15,371.9397,334.1316
114,2018,TS,M,15,375.3303,339.6249
114,2018,TS,M,15,351.6402,339.3478
114,2018,TS,M,15,334.6117,319.9379
114,2018,TS,M,15,380.1569,341.522
114,2018,TS,M,15,315.5226,295.6626
114,2018,TS,M,15,388.7985,351.7855
114,2018,TS,M,15,386.489,351.8146
114,2018,TS,M,15,382.9459,338.7663
114,2018,TS,M,15,379.3403,347.2567
114,2018,TS,M,15,270.1697,261.3302
114,2018,TS,M,15,342.2554,307.5709
114,2018,TS,M,15,365.0839,332.7288
114,2018,TS,M,15,368.3135,322.8953
