Photo ID,Station #,Species,Sex,Dish #,Scale length,Krill length,Notes,# Incomplete,Measured by
RF150503S454EPF1,454,EP,F,1,15,299.793,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,271.867,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,328.032,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,345.025,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,314.872,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,331.736,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,291.546,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,304.8,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,378.511,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,315.888,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,356.159,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,315.452,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,274.585,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,313.277,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,286.122,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,328.801,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,341.377,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,343.352,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,310.738,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,271.631,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,330.465,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,291.483,,2,Sadie Small
RF150503S454EPF1,454,EP,F,1,15,330.22,,2,Sadie Small
RF150527S605EPM2,605,EP,M,2,16,328.304,,2,Krishna Kumar
RF150527S605EPM2,605,EP,M,2,16,306.413,,2,Krishna Kumar
RF150527S605EPM2,605,EP,M,2,16,308.572,,2,Krishna Kumar
RF150527S605EPM2,605,EP,M,2,16,253.814,,2,Krishna Kumar
RF150527S605EPM2,605,EP,M,2,16,336.865,,2,Krishna Kumar
RF150527S605EPM2,605,EP,M,2,16,286.081,,2,Krishna Kumar
RF150527S605EPM2,605,EP,M,2,16,246.549,,2,Krishna Kumar
RF150527S605EPM2,605,EP,M,2,16,300.726,,2,Krishna Kumar
RF150527S605EPM2,605,EP,M,2,16,328.718,,2,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,325.122,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,295.849,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,325.782,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,301.56,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,287.468,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,285.362,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,294.919,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,297.39,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,337.486,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,294.392,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,326.609,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,300.061,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,352.56,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,355.1,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,372.113,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,321.026,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,298.581,,3,Krishna Kumar
RF150527S605EPF2,605,EP,F,2,15,295.62,,3,Krishna Kumar
RF150527S605NDM2,605,ND,M,2,15,247.328,,0,Krishna Kumar
RF150527S605NDM2,605,ND,M,2,15,333.244,,0,Krishna Kumar
RF150527S605NDM2,605,ND,M,2,15,292.038,,0,Krishna Kumar
RF150527S605NDM2,605,ND,M,2,15,335.69,,0,Krishna Kumar
RF150527S605NDM2,605,ND,M,2,15,277.599,,0,Krishna Kumar
RF150527S605NDM2,605,ND,M,2,15,244.987,,0,Krishna Kumar
RF150527S605NDM2,605,ND,M,2,15,303.581,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,303.673,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,287.964,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,343.299,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,279.902,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,263.448,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,335.044,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,323.54,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,323.471,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,329.281,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,326.898,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,300.227,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,325.734,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,297.955,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,366.732,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,263.725,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,338.017,,0,Krishna Kumar
RF150527S605NDF3,605,ND,F,3,16,316.401,,0,Krishna Kumar
RF150527S605EPM1,605,EP,M,1,16,320.869,,1,Krishna Kumar
RF150527S605EPM1,605,EP,M,1,16,285.853,,1,Krishna Kumar
RF150527S605EPM1,605,EP,M,1,16,395.688,,1,Krishna Kumar
RF150527S605EPM1,605,EP,M,1,16,243.309,,1,Krishna Kumar
RF150527S605EPM1,605,EP,M,1,16,278.219,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,332.215,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,324.422,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,346.108,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,315.475,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,321.349,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,348.681,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,245.487,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,361.492,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,327.331,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,315.785,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,260.479,,1,Krishna Kumar
RF150527S605EPF1,605,EP,F,1,15,339.629,,1,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,268.824,,2,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,305.369,,2,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,276.807,,2,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,267.635,,2,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,353.598,,2,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,307.154,,2,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,312.49,,2,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,225.194,,2,Krishna Kumar
RF150525S473EPF4,473,EP,F,4,15,232.311,,2,Krishna Kumar
RF150525S473EPM3,473,EP,M,3,15,307.614,,1,Krishna Kumar
RF150525S473EPM3,473,EP,M,3,15,279.755,,1,Krishna Kumar
RF150525S473EPM3,473,EP,M,3,15,273.51,,1,Krishna Kumar
RF150525S473EPM3,473,EP,M,3,15,286.869,,1,Krishna Kumar
RF150525S473EPM3,473,EP,M,3,15,258.116,,1,Krishna Kumar
RF150525S473EPM3,473,EP,M,3,15,319.404,,1,Krishna Kumar
RF150525S473EPM3,473,EP,M,3,15,192.947,,1,Krishna Kumar
RF150525S473EPM4,473,EP,M,4,16,332.126,,0,Krishna Kumar
RF150525S473EPM4,473,EP,M,4,16,217.172,,0,Krishna Kumar
RF150525S473EPM4,473,EP,M,4,16,318.719,,0,Krishna Kumar
RF150525S473EPM4,473,EP,M,4,16,217.203,,0,Krishna Kumar
