"","lat","lon","year","month","day","monthDay","temp_2","temp_100","lat_lon"
"1",32.9167,-117.5833,2011,4,1,4.1,14.8926820755004,9.76612186431879,"32.9167_-117.5833"
"2",32.9167,-117.5833,2011,4,2,4.2,15.1202592849731,9.31786441802975,"32.9167_-117.5833"
"3",32.9167,-117.5833,2011,4,3,4.3,15.6508636474609,9.45180416107175,"32.9167_-117.5833"
"4",32.9167,-117.5833,2011,4,4,4.4,15.4826021194458,9.80219173431392,"32.9167_-117.5833"
"5",32.9167,-117.5833,2011,4,5,4.5,15.0427513122558,8.53963184356685,"32.9167_-117.5833"
"6",32.9167,-117.5833,2011,4,6,4.6,15.121615409851,9.06366443634028,"32.9167_-117.5833"
"7",32.9167,-117.5833,2011,4,7,4.7,14.935827255249,8.87141513824458,"32.9167_-117.5833"
"8",32.9167,-117.5833,2011,4,8,4.8,15.4889345169067,9.67137145996089,"32.9167_-117.5833"
"9",32.9167,-117.5833,2011,4,9,4.9,15.1566104888916,9.12654018402094,"32.9167_-117.5833"
"10",32.9167,-117.5833,2011,4,10,4.1,15.0988607406616,9.83909225463862,"32.9167_-117.5833"
"11",32.9167,-117.5833,2011,4,11,4.11,15.1606092453002,9.63331699371335,"32.9167_-117.5833"
"12",32.9167,-117.5833,2011,4,12,4.12,15.339542388916,8.9108047485351,"32.9167_-117.5833"
"13",32.9167,-117.5833,2011,4,13,4.13,15.5360603332519,9.44187831878657,"32.9167_-117.5833"
"14",32.9167,-117.5833,2011,4,14,4.14,15.8870515823364,9.32411289215082,"32.9167_-117.5833"
"15",32.9167,-117.5833,2011,4,15,4.15,16.115119934082,9.76029014587397,"32.9167_-117.5833"
"16",32.9167,-117.5833,2011,4,16,4.16,15.4171123504638,9.5931310653686,"32.9167_-117.5833"
"17",32.9167,-117.5833,2011,4,17,4.17,15.5913047790527,8.96972656249997,"32.9167_-117.5833"
"18",32.9167,-117.5833,2011,4,18,4.18,15.7856225967407,9.29050540924067,"32.9167_-117.5833"
"19",32.9167,-117.5833,2011,4,19,4.19,16.4270210266113,9.51389789581296,"32.9167_-117.5833"
"20",32.9167,-117.5833,2011,4,20,4.2,15.7796974182129,8.60939407348629,"32.9167_-117.5833"
"21",32.9167,-117.5833,2011,4,21,4.21,15.7307348251342,9.5732803344726,"32.9167_-117.5833"
"22",32.9167,-117.5833,2011,4,22,4.22,15.7484560012817,9.88523674011225,"32.9167_-117.5833"
"23",32.9167,-117.5833,2011,4,23,4.23,15.8878660202026,10.0355243682861,"32.9167_-117.5833"
"24",32.9167,-117.5833,2011,4,24,4.24,16.3793964385986,9.50229740142817,"32.9167_-117.5833"
"25",32.9167,-117.5833,2011,4,25,4.25,16.6055889129638,9.73846721649165,"32.9167_-117.5833"
"26",32.9167,-117.5833,2011,4,26,4.26,16.7141723632812,9.44482326507565,"32.9167_-117.5833"
"27",32.9167,-117.5833,2011,4,27,4.27,16.8394165039062,9.73258113861078,"32.9167_-117.5833"
"28",32.9167,-117.5833,2011,4,28,4.28,16.1000518798828,8.72500324249264,"32.9167_-117.5833"
"29",32.9167,-117.5833,2011,4,29,4.29,16.7341156005859,9.74240779876706,"32.9167_-117.5833"
"30",32.9167,-117.5833,2011,4,30,4.3,16.9208793640136,9.44776153564447,"32.9167_-117.5833"
"31",32.9167,-117.5833,2011,5,1,5.1,16.4305534362792,9.04831409454343,"32.9167_-117.5833"
"32",32.9167,-117.5833,2011,5,2,5.2,16.4332656860351,8.868085861206,"32.9167_-117.5833"
"33",32.9167,-117.5833,2011,5,3,5.3,16.3704204559326,8.81469726562497,"32.9167_-117.5833"
"34",32.9167,-117.5833,2011,5,4,5.4,16.4466247558593,9.06221485137934,"32.9167_-117.5833"
"35",32.9167,-117.5833,2011,5,5,5.5,16.9869785308837,9.05211257934566,"32.9167_-117.5833"
"36",32.9167,-117.5833,2011,5,6,5.6,16.9986343383789,8.86070728301999,"32.9167_-117.5833"
"37",32.9167,-117.5833,2011,5,7,5.7,17.3066864013671,8.76826763153073,"32.9167_-117.5833"
"38",32.9167,-117.5833,2011,5,8,5.8,17.3305969238281,8.98255443572992,"32.9167_-117.5833"
"39",32.9167,-117.5833,2011,5,9,5.9,16.625617980957,9.16817092895504,"32.9167_-117.5833"
"40",32.9167,-117.5833,2011,5,10,5.1,16.474380493164,9.26092529296871,"32.9167_-117.5833"
"41",32.9167,-117.5833,2011,5,11,5.11,16.4522399902343,9.34813117980951,"32.9167_-117.5833"
"42",32.9167,-117.5833,2011,5,12,5.12,16.6839389801025,9.40882873535151,"32.9167_-117.5833"
"43",32.9167,-117.5833,2011,5,13,5.13,17.2635402679443,9.50570774078364,"32.9167_-117.5833"
"44",32.9167,-117.5833,2011,5,14,5.14,17.3979873657226,9.45893859863276,"32.9167_-117.5833"
"45",32.9167,-117.5833,2011,5,15,5.15,17.3047161102295,9.47412300109859,"32.9167_-117.5833"
"46",32.9167,-117.5833,2011,5,16,5.16,17.0840091705322,9.41654872894282,"32.9167_-117.5833"
"47",32.9167,-117.5833,2011,5,17,5.17,16.6399593353271,9.58196067810055,"32.9167_-117.5833"
"48",32.9167,-117.5833,2011,5,18,5.18,16.5350322723388,9.49508857727046,"32.9167_-117.5833"
"49",32.9167,-117.5833,2011,5,19,5.19,16.5516757965088,9.23043823242182,"32.9167_-117.5833"
"50",32.9167,-117.5833,2011,5,20,5.2,16.7878551483154,9.41987514495846,"32.9167_-117.5833"
"51",32.9167,-117.5833,2011,5,21,5.21,17.0534591674804,9.25666046142573,"32.9167_-117.5833"
"52",32.9167,-117.5833,2011,5,22,5.22,16.7862224578857,9.19446945190426,"32.9167_-117.5833"
"53",32.9167,-117.5833,2011,5,23,5.23,17.0058994293212,9.76686668395991,"32.9167_-117.5833"
"54",32.9167,-117.5833,2011,5,24,5.24,17.0705871582031,8.83861827850337,"32.9167_-117.5833"
"55",32.9167,-117.5833,2011,5,25,5.25,17.1075553894043,9.04178714752192,"32.9167_-117.5833"
"56",32.9167,-117.5833,2011,5,26,5.26,16.9804592132568,9.18334484100339,"32.9167_-117.5833"
"57",32.9167,-117.5833,2011,5,27,5.27,16.8831062316894,8.87233543395992,"32.9167_-117.5833"
"58",32.9167,-117.5833,2011,5,28,5.28,17.2647914886474,8.94111824035639,"32.9167_-117.5833"
"59",32.9167,-117.5833,2011,5,29,5.29,17.3377227783203,9.56604003906247,"32.9167_-117.5833"
"60",32.9167,-117.5833,2011,5,30,5.3,16.4249267578124,9.50624179840083,"32.9167_-117.5833"
"61",32.9167,-117.5833,2011,5,31,5.31,16.4462757110595,9.66456604003901,"32.9167_-117.5833"
"62",32.9167,-117.5833,2011,6,1,6.1,16.8284816741943,9.79649257659907,"32.9167_-117.5833"
"63",32.9167,-117.5833,2011,6,2,6.2,17.0657329559326,10.2153816223144,"32.9167_-117.5833"
"64",32.9167,-117.5833,2011,6,3,6.3,16.3312244415283,10.4626245498657,"32.9167_-117.5833"
"65",32.9167,-117.5833,2011,6,4,6.4,15.9273843765258,10.1434812545776,"32.9167_-117.5833"
"66",32.9167,-117.5833,2011,6,5,6.5,16.1065483093261,10.2387771606445,"32.9167_-117.5833"
"67",32.9167,-117.5833,2011,6,6,6.6,16.2318439483642,10.3149099349975,"32.9167_-117.5833"
"68",32.9167,-117.5833,2011,6,7,6.7,16.3711757659912,10.714201927185,"32.9167_-117.5833"
"69",32.9167,-117.5833,2011,6,8,6.8,16.5314674377441,10.7576284408569,"32.9167_-117.5833"
"70",32.9167,-117.5833,2011,6,9,6.9,16.9746646881103,10.7288265228271,"32.9167_-117.5833"
"71",32.9167,-117.5833,2011,6,10,6.1,17.1123294830322,10.8195314407348,"32.9167_-117.5833"
"72",32.9167,-117.5833,2011,6,11,6.11,16.3323078155517,10.7981204986572,"32.9167_-117.5833"
"73",32.9167,-117.5833,2011,6,12,6.12,16.6081447601318,10.7244701385498,"32.9167_-117.5833"
"74",32.9167,-117.5833,2011,6,13,6.13,16.9932804107665,9.79546070098874,"32.9167_-117.5833"
"75",32.9167,-117.5833,2011,6,14,6.14,17.2902774810791,10.7487030029296,"32.9167_-117.5833"
"76",32.9167,-117.5833,2011,6,15,6.15,17.5823822021484,7.90167856216426,"32.9167_-117.5833"
"77",32.9167,-117.5833,2011,6,16,6.16,17.9000053405761,8.51746749877925,"32.9167_-117.5833"
"78",32.9167,-117.5833,2011,6,17,6.17,18.1844234466552,8.48816967010492,"32.9167_-117.5833"
"79",32.9167,-117.5833,2011,6,18,6.18,18.1306934356689,8.8971786499023,"32.9167_-117.5833"
"80",32.9167,-117.5833,2011,6,19,6.19,19.0267734527587,7.89802932739254,"32.9167_-117.5833"
"81",32.9167,-117.5833,2011,6,20,6.2,19.2628765106201,9.08560752868649,"32.9167_-117.5833"
"82",32.9167,-117.5833,2011,6,21,6.21,17.6304893493652,9.0230627059936,"32.9167_-117.5833"
"83",32.9167,-117.5833,2011,6,22,6.22,18.0660228729248,9.26022434234615,"32.9167_-117.5833"
"84",32.9167,-117.5833,2011,6,23,6.23,19.8815422058105,7.58265209197993,"32.9167_-117.5833"
"85",32.9167,-117.5833,2011,6,24,6.24,20.0340614318847,8.16889095306392,"32.9167_-117.5833"
"86",32.9167,-117.5833,2011,6,25,6.25,18.9918346405029,8.04680156707759,"32.9167_-117.5833"
"87",32.9167,-117.5833,2011,6,26,6.26,18.4222526550293,8.04922008514401,"32.9167_-117.5833"
"88",32.9167,-117.5833,2011,6,27,6.27,19.6461753845214,7.15013170242306,"32.9167_-117.5833"
"89",32.9167,-117.5833,2011,6,28,6.28,20.1914405822754,8.69813251495357,"32.9167_-117.5833"
"90",32.9167,-117.5833,2011,6,29,6.29,20.4733257293701,9.39785385131832,"32.9167_-117.5833"
"91",32.9167,-117.5833,2011,6,30,6.3,20.8579692840576,9.88086032867427,"32.9167_-117.5833"
"92",32.9167,-117.5833,2011,7,1,7.1,19.8417797088622,9.99022388458248,"32.9167_-117.5833"
"93",32.9167,-117.5833,2011,7,2,7.2,20.0810527801513,8.86144351959223,"32.9167_-117.5833"
"94",32.9167,-117.5833,2011,7,3,7.3,20.3383502960205,9.70500659942622,"32.9167_-117.5833"
"95",32.9167,-117.5833,2011,7,10,7.1,20.323989868164,9.1027746200561,"32.9167_-117.5833"
"96",32.9167,-117.5833,2011,7,11,7.11,20.2183513641357,8.97851753234859,"32.9167_-117.5833"
"97",32.9167,-117.5833,2011,7,12,7.12,20.1527481079101,8.83961105346676,"32.9167_-117.5833"
"98",32.9167,-117.5833,2011,7,13,7.13,19.5903339385986,8.6891946792602,"32.9167_-117.5833"
"99",32.9167,-117.5833,2011,7,14,7.14,20.2688312530517,8.97646427154538,"32.9167_-117.5833"
"100",32.9167,-117.5833,2011,7,15,7.15,19.9975929260253,9.18930244445796,"32.9167_-117.5833"
"101",32.9167,-117.5833,2011,7,16,7.16,19.7155113220215,9.02365589141842,"32.9167_-117.5833"
"102",32.9167,-117.5833,2011,7,17,7.17,20.1482639312744,9.24271583557126,"32.9167_-117.5833"
"103",32.9167,-117.5833,2011,7,18,7.18,19.9340724945068,9.43594837188717,"32.9167_-117.5833"
"104",32.9167,-117.5833,2011,7,19,7.19,20.1637172698974,9.39366531372065,"32.9167_-117.5833"
"105",32.9167,-117.5833,2011,7,20,7.2,20.4678249359131,9.50269508361812,"32.9167_-117.5833"
"106",32.9167,-117.5833,2011,7,21,7.21,20.1290149688721,10.0218667984008,"32.9167_-117.5833"
"107",32.9167,-117.5833,2011,7,22,7.22,20.2471961975097,9.91521930694574,"32.9167_-117.5833"
"108",32.9167,-117.5833,2011,7,23,7.23,20.2324886322021,10.3049230575561,"32.9167_-117.5833"
"109",32.9167,-117.5833,2011,7,24,7.24,20.0521621704101,9.93944072723385,"32.9167_-117.5833"
"110",32.9167,-117.5833,2011,7,25,7.25,20.0585327148437,10.1974153518676,"32.9167_-117.5833"
"111",32.9167,-117.5833,2011,7,26,7.26,20.0199794769287,10.3532171249389,"32.9167_-117.5833"
"112",32.9167,-117.5833,2011,7,27,7.27,19.9322547912597,10.1406717300415,"32.9167_-117.5833"
"113",32.9167,-117.5833,2011,7,28,7.28,20.1370582580566,10.0941123962402,"32.9167_-117.5833"
"114",32.9167,-117.5833,2011,7,29,7.29,20.2148685455322,10.5102739334106,"32.9167_-117.5833"
"115",32.9167,-117.5833,2011,7,30,7.3,20.1802139282226,10.6828165054321,"32.9167_-117.5833"
"116",32.9167,-117.5833,2011,7,31,7.31,19.4925327301025,11.0113544464111,"32.9167_-117.5833"
"117",32.9167,-117.5833,2012,4,1,4.1,14.5642290115356,9.75204181671137,"32.9167_-117.5833"
"118",32.9167,-117.5833,2012,4,2,4.2,13.9135417938232,9.46528053283686,"32.9167_-117.5833"
"119",32.9167,-117.5833,2012,4,3,4.3,13.9731149673461,10.2768030166626,"32.9167_-117.5833"
"120",32.9167,-117.5833,2012,4,4,4.4,14.1701898574829,10.2021551132202,"32.9167_-117.5833"
"121",32.9167,-117.5833,2012,4,5,4.5,14.4336385726929,10.2071104049682,"32.9167_-117.5833"
"122",32.9167,-117.5833,2012,4,6,4.6,14.3985223770141,9.45892620086665,"32.9167_-117.5833"
"123",32.9167,-117.5833,2012,4,7,4.7,14.3519020080566,9.04924964904779,"32.9167_-117.5833"
"124",32.9167,-117.5833,2012,4,8,4.8,14.4413833618164,9.00877285003658,"32.9167_-117.5833"
"125",32.9167,-117.5833,2012,4,9,4.9,14.9095001220702,9.26948356628414,"32.9167_-117.5833"
"126",32.9167,-117.5833,2012,4,10,4.1,14.9711990356445,8.7659654617309,"32.9167_-117.5833"
"127",32.9167,-117.5833,2012,4,11,4.11,14.9039182662963,9.00491333007807,"32.9167_-117.5833"
"128",32.9167,-117.5833,2012,4,12,4.12,14.677188873291,9.26296329498285,"32.9167_-117.5833"
"129",32.9167,-117.5833,2012,4,13,4.13,14.9870119094848,9.27241039276118,"32.9167_-117.5833"
"130",32.9167,-117.5833,2012,4,14,4.14,14.2290306091308,9.33156871795651,"32.9167_-117.5833"
"131",32.9167,-117.5833,2012,4,15,4.15,13.936484336853,9.88505649566646,"32.9167_-117.5833"
"132",32.9167,-117.5833,2012,4,16,4.16,13.9427413940429,9.52007102966304,"32.9167_-117.5833"
"133",32.9167,-117.5833,2012,4,17,4.17,14.3131322860718,9.80344676971432,"32.9167_-117.5833"
"134",32.9167,-117.5833,2012,4,18,4.18,14.3615703582763,8.65765666961664,"32.9167_-117.5833"
"135",32.9167,-117.5833,2012,4,19,4.19,14.5299043655395,8.83894157409663,"32.9167_-117.5833"
"136",32.9167,-117.5833,2012,4,20,4.2,14.5662851333618,9.04038333892819,"32.9167_-117.5833"
"137",32.9167,-117.5833,2012,4,21,4.21,15.6190862655639,9.01104831695553,"32.9167_-117.5833"
"138",32.9167,-117.5833,2012,4,22,4.22,14.9164533615112,8.80886459350582,"32.9167_-117.5833"
"139",32.9167,-117.5833,2012,4,23,4.23,15.433256149292,8.585202217102,"32.9167_-117.5833"
"140",32.9167,-117.5833,2012,4,24,4.24,14.7566661834716,9.37570858001705,"32.9167_-117.5833"
"141",32.9167,-117.5833,2012,4,25,4.25,14.30575466156,9.06713104248041,"32.9167_-117.5833"
"142",32.9167,-117.5833,2012,4,26,4.26,15.3038530349731,9.32766914367673,"32.9167_-117.5833"
"143",32.9167,-117.5833,2012,4,27,4.27,15.9225730895996,9.08225345611568,"32.9167_-117.5833"
"144",32.9167,-117.5833,2012,4,28,4.28,16.1648483276367,9.44063472747798,"32.9167_-117.5833"
"145",32.9167,-117.5833,2012,4,29,4.29,16.6257495880127,9.4611959457397,"32.9167_-117.5833"
"146",32.9167,-117.5833,2012,4,30,4.3,15.971713066101,9.9650144577026,"32.9167_-117.5833"
"147",32.9167,-117.5833,2012,5,1,5.1,16.1508865356445,9.64923191070552,"32.9167_-117.5833"
"148",32.9167,-117.5833,2012,5,2,5.2,16.7539119720459,9.99923038482662,"32.9167_-117.5833"
"149",32.9167,-117.5833,2012,5,3,5.3,16.9715995788574,10.3670988082885,"32.9167_-117.5833"
"150",32.9167,-117.5833,2012,5,4,5.4,16.762767791748,9.34910488128657,"32.9167_-117.5833"
"151",32.9167,-117.5833,2012,5,5,5.5,16.8654365539551,8.7182245254516,"32.9167_-117.5833"
"152",32.9167,-117.5833,2012,5,6,5.6,17.0967693328857,8.95315074920651,"32.9167_-117.5833"
"153",32.9167,-117.5833,2012,5,7,5.7,17.2404041290282,9.69954109191889,"32.9167_-117.5833"
"154",32.9167,-117.5833,2012,5,8,5.8,17.0846424102783,8.89029884338375,"32.9167_-117.5833"
"155",32.9167,-117.5833,2012,5,9,5.9,17.4689903259277,8.10690021514887,"32.9167_-117.5833"
"156",32.9167,-117.5833,2012,5,10,5.1,17.6536617279052,8.84832954406733,"32.9167_-117.5833"
"157",32.9167,-117.5833,2012,5,11,5.11,17.6909656524658,9.04469871520992,"32.9167_-117.5833"
"158",32.9167,-117.5833,2012,5,12,5.12,17.2896118164062,9.2319765090942,"32.9167_-117.5833"
"159",32.9167,-117.5833,2012,5,13,5.13,17.6915626525878,9.09541320800776,"32.9167_-117.5833"
"160",32.9167,-117.5833,2012,5,14,5.14,17.4247398376464,9.21726417541499,"32.9167_-117.5833"
"161",32.9167,-117.5833,2012,5,15,5.15,17.4638500213622,9.45036983489985,"32.9167_-117.5833"
"162",32.9167,-117.5833,2012,5,16,5.16,17.5166416168213,8.88084316253658,"32.9167_-117.5833"
"163",32.9167,-117.5833,2012,5,17,5.17,17.7597312927246,8.99560260772701,"32.9167_-117.5833"
"164",32.9167,-117.5833,2012,5,18,5.18,17.9227447509765,9.19849205017085,"32.9167_-117.5833"
"165",32.9167,-117.5833,2012,5,19,5.19,18.0183277130126,9.55259418487543,"32.9167_-117.5833"
"166",32.9167,-117.5833,2012,5,20,5.2,17.1854991912842,9.34847164154048,"32.9167_-117.5833"
"167",32.9167,-117.5833,2012,5,21,5.21,17.0551395416259,9.46350193023676,"32.9167_-117.5833"
"168",32.9167,-117.5833,2012,5,22,5.22,17.1557598114013,9.68334674835202,"32.9167_-117.5833"
"169",32.9167,-117.5833,2012,5,23,5.23,18.0214214324951,9.16518115997311,"32.9167_-117.5833"
"170",32.9167,-117.5833,2012,5,24,5.24,17.6146163940429,9.17065906524654,"32.9167_-117.5833"
"171",32.9167,-117.5833,2012,5,25,5.25,18.1550674438476,9.86593341827387,"32.9167_-117.5833"
"172",32.9167,-117.5833,2012,5,26,5.26,16.9331035614013,9.60765552520747,"32.9167_-117.5833"
"173",32.9167,-117.5833,2012,5,27,5.27,15.2496938705444,9.78657150268551,"32.9167_-117.5833"
"174",32.9167,-117.5833,2012,5,28,5.28,16.4235954284668,10.535922050476,"32.9167_-117.5833"
"175",32.9167,-117.5833,2012,5,29,5.29,17.0739002227783,10.458924293518,"32.9167_-117.5833"
"176",32.9167,-117.5833,2012,5,30,5.3,17.7477149963378,9.8841295242309,"32.9167_-117.5833"
"177",32.9167,-117.5833,2012,5,31,5.31,18.4469470977783,10.0003795623779,"32.9167_-117.5833"
"178",32.9167,-117.5833,2012,6,1,6.1,18.5119953155517,8.43997192382807,"32.9167_-117.5833"
"179",32.9167,-117.5833,2012,6,2,6.2,18.5315647125243,8.87524318695063,"32.9167_-117.5833"
"180",32.9167,-117.5833,2012,6,3,6.3,18.4157009124756,8.77035236358637,"32.9167_-117.5833"
"181",32.9167,-117.5833,2012,6,4,6.4,18.3199653625488,8.67874717712397,"32.9167_-117.5833"
"182",32.9167,-117.5833,2012,6,5,6.5,17.9244270324706,9.70553779602047,"32.9167_-117.5833"
"183",32.9167,-117.5833,2012,6,6,6.6,17.9197463989257,9.4118566513061,"32.9167_-117.5833"
"184",32.9167,-117.5833,2012,6,7,6.7,18.2221813201904,9.30928897857661,"32.9167_-117.5833"
"185",32.9167,-117.5833,2012,6,8,6.8,18.6119956970215,9.62443637847896,"32.9167_-117.5833"
