station,station_longitude,station_latitude,area,bottom_depth
114,-121.8667,36.7667,Monterey Bay Inside,73
112,-121.9467,36.655,Monterey Bay Inside,80
110,-122.175,36.5833,Monterey Bay Outside,2322
117,-122.1083,36.7,Monterey Bay Outside,1920
124,-122.375,36.9833,Davenport,117
131,-122.5667,37.275,Pescadero,84
132,-122.65,37.275,Pescadero,95
134,-122.9833,37.275,Pescadero,565
138,-122.9083,37.7,Gulf of the Farallones,54
139,-122.8667,37.7917,Gulf of the Farallones,54
152,-123.0417,37.6583,Farallones Outside,106
167,-123.1667,38.1667,Point Reyes,91
170,-123.3667,38.1667,Point Reyes,190
156,-123.1383,37.7433,Farallones Outside,91
110,-122.175,36.5833,Monterey Bay Outside,2322
117,-122.1083,36.7,Monterey Bay Outside,2011
112,-121.9467,36.655,Monterey Bay Inside,74
114,-121.8667,36.7667,Monterey Bay Inside,69
124,-122.375,36.9833,Davenport,120
131,-122.5667,37.275,Pescadero,85
132,-122.65,37.275,Pescadero,96
134,-122.9833,37.275,Pescadero,535
152,-123.0417,37.6583,Farallones Outside,100
156,-123.1383,37.7433,Farallones Outside,71
170,-123.3667,38.1667,Point Reyes,184
167,-123.1667,38.1667,Point Reyes,89
138,-122.9083,37.7,Gulf of the Farallones,56
139,-122.8667,37.7917,Gulf of the Farallones,56
114,-121.8667,36.7667,Monterey Bay Inside,82
112,-121.9467,36.655,Monterey Bay Inside,85
110,-122.175,36.5833,Monterey Bay Outside,2322
117,-122.1083,36.7,Monterey Bay Outside,1920
124,-122.375,36.9833,Davenport,117
139,-122.8667,37.7917,Gulf of the Farallones,54
138,-122.9083,37.7,Gulf of the Farallones,56
131,-122.5667,37.275,Pescadero,84
132,-122.65,37.275,Pescadero,95
134,-122.9833,37.275,Pescadero,528
152,-123.0417,37.6583,Farallones Outside,113
156,-123.1383,37.7433,Farallones Outside,64
167,-123.1667,38.1667,Point Reyes,91
114,-121.8667,36.7667,Monterey Bay Inside,73
112,-121.9467,36.655,Monterey Bay Inside,80
110,-122.175,36.5833,Monterey Bay Outside,2194
117,-122.1083,36.7,Monterey Bay Outside,1920
124,-122.375,36.9833,Davenport,118
138,-122.9083,37.7,Gulf of the Farallones,54
139,-122.8667,37.7917,Gulf of the Farallones,54
131,-122.5667,37.275,Pescadero,87
132,-122.65,37.275,Pescadero,95
134,-122.9833,37.275,Pescadero,585
152,-123.0417,37.6583,Farallones Outside,106
156,-123.1383,37.7433,Farallones Outside,71
167,-123.1667,38.1667,Point Reyes,91
170,-123.3667,38.1667,Point Reyes,182
114,-121.8667,36.7667,Monterey Bay Inside,73
112,-121.9467,36.655,Monterey Bay Inside,84
112,-121.9467,36.655,Monterey Bay Inside,78
112,-121.9467,36.655,Monterey Bay Inside,74
114,-121.8667,36.7667,Monterey Bay Inside,73
112,-121.9467,36.655,Monterey Bay Inside,74
138,-122.9083,37.7,Gulf of the Farallones,54
139,-122.8667,37.7917,Gulf of the Farallones,56
131,-122.5667,37.275,Pescadero,82
132,-122.65,37.275,Pescadero,96
124,-122.375,36.9833,Davenport,121
114,-121.8667,36.7667,Monterey Bay Inside,73
112,-121.9467,36.655,Monterey Bay Inside,74
110,-122.175,36.5833,Monterey Bay Outside,2322
117,-122.1083,36.7,Monterey Bay Outside,1920
152,-123.0417,37.6583,Farallones Outside,118
156,-123.1383,37.7433,Farallones Outside,74
167,-123.1667,38.1667,Point Reyes,91
170,-123.3667,38.1667,Point Reyes,164
117,-122.1083,36.7,Monterey Bay Outside,1920
110,-122.175,36.5833,Monterey Bay Outside,2322
124,-122.375,36.9833,Davenport,128
112,-121.9467,36.655,Monterey Bay Inside,73
114,-121.8667,36.7667,Monterey Bay Inside,104
131,-122.5667,37.275,Pescadero,82
134,-122.9833,37.275,Pescadero,548
152,-123.0417,37.6583,Farallones Outside,118
156,-123.1383,37.7433,Farallones Outside,69
138,-122.9083,37.7,Gulf of the Farallones,54
139,-122.8667,37.7917,Gulf of the Farallones,54
167,-123.1667,38.1667,Point Reyes,91
170,-123.3667,38.1667,Point Reyes,164
