station,lat,lon,depth,url
110,36.5833,-122.175,2269.826087,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=36.5833&lon=-122.1750&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
112,36.655,-121.9467,78.36619718,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=36.6550&lon=-121.9467&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
114,36.7667,-121.8667,98.66666667,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=36.7667&lon=-121.8667&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
116,36.74,-121.9767,296.807692,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=36.74&lon=-121.9767&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
117,36.7,-122.1083,1866.180556,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=36.7000&lon=-122.1083&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
118,36.76694,-122.15893,1126,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=36.76694&lon=-122.15893&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
124,36.9833,-122.375,140.9393939,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=36.9833&lon=-122.3750&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
127,36.9833,-122.7583,1043.346154,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=36.9833&lon=-122.7583&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
131,37.275,-122.5667,84.21428571,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=37.2750&lon=-122.5667&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
132,37.275,-122.6273,95.1969697,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=37.2750&lon=-122.6273&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
134,37.275,-122.9833,518.609375,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=37.2750&lon=-122.9833&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
138,37.7,-122.9083,55.57142857,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=37.7000&lon=-122.9083&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
139,37.7917,-122.8667,55.4,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=37.7917&lon=-122.8667&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
152,37.6583,-123.0417,109.1384615,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=37.6583&lon=-123.0417&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
156,37.7433,-123.1383,87.82857143,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=37.7433&lon=-123.1383&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
165,38.1667,-123,54,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=38.1667&lon=-123&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
166,38.16639,-123.0842,77,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=38.16639&lon=-123.0842&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
167,38.1667,-123.1667,90.15254237,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=38.1667&lon=-123.1667&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
